Time,Core,IPC,LLC Misses,LLC[KB],MBL[MB/s],MBR[MB/s]
2020-12-23 10:21:54,"46",0.34,18359,0.0,0.2,0.5
2020-12-23 10:21:54,"47",0.36,6268,40.0,0.0,0.7
2020-12-23 10:21:54,"48",0.46,204524,520.0,36.8,9.6
2020-12-23 10:21:54,"49",1.12,17739,0.0,0.3,0.6
2020-12-23 10:21:54,"50",1.48,447204,400.0,55.0,13.8
2020-12-23 10:21:54,"51",1.22,569238,2600.0,65.6,18.2
2020-12-23 10:21:54,"52",1.19,387685,2960.0,53.7,8.6
2020-12-23 10:21:54,"53",1.22,676890,1920.0,79.2,17.5
2020-12-23 10:21:54,"54",0.59,42852,0.0,0.3,5.2
2020-12-23 10:21:54,"55",0.48,99878,80.0,7.9,5.1
2020-12-23 10:21:54,"56",0.57,41571,40.0,0.0,4.5
2020-12-23 10:21:54,"57",0.63,161167,0.0,20.2,3.7
2020-12-23 10:21:54,"58",0.54,41578,0.0,0.2,3.2
2020-12-23 10:21:54,"59",0.55,73432,40.0,1.2,6.9
2020-12-23 10:21:55,"0",0.62,233053,720.0,11.9,2.6
2020-12-23 10:21:55,"1",0.55,15863,120.0,1.2,0.5
2020-12-23 10:21:55,"2",0.72,194825,360.0,25.1,4.0
2020-12-23 10:21:55,"3",0.90,128280,1000.0,14.0,3.2
2020-12-23 10:21:55,"4",0.53,34229,200.0,0.5,0.7
2020-12-23 10:21:55,"5",0.23,17472,360.0,1.1,0.5
2020-12-23 10:21:55,"6",0.60,154381,2120.0,21.2,3.0
2020-12-23 10:21:55,"7",0.25,15566,280.0,0.4,0.2
2020-12-23 10:21:55,"8",0.93,82616,800.0,3.5,2.1
2020-12-23 10:21:55,"9",0.40,25549,320.0,2.2,0.3
2020-12-23 10:21:55,"10",1.18,674063,160.0,78.7,82.7
2020-12-23 10:21:55,"11",1.43,1020388,11880.0,122.6,24.9
2020-12-23 10:21:55,"12",1.27,695214,2080.0,105.0,7.5
2020-12-23 10:21:55,"13",1.15,985584,280.0,117.9,13.2
2020-12-23 10:21:55,"14",0.57,43836,0.0,1.2,3.1
2020-12-23 10:21:55,"15",0.63,35579,0.0,0.1,3.4
2020-12-23 10:21:55,"16",1.11,77045,0.0,0.5,6.8
2020-12-23 10:21:55,"17",0.52,43976,0.0,1.5,3.6
2020-12-23 10:21:55,"18",0.61,45935,0.0,0.2,4.4
2020-12-23 10:21:55,"19",0.67,74922,0.0,0.3,6.4
2020-12-23 10:21:55,"40",0.39,36968,320.0,1.1,0.9
2020-12-23 10:21:55,"41",0.48,49398,400.0,1.6,1.2
2020-12-23 10:21:55,"42",0.60,71150,440.0,10.8,1.2
2020-12-23 10:21:55,"43",0.68,41638,640.0,1.6,1.2
2020-12-23 10:21:55,"44",0.75,494245,5000.0,45.6,28.1
2020-12-23 10:21:55,"45",1.07,89116,920.0,3.2,2.7
2020-12-23 10:21:55,"46",0.29,19227,560.0,0.6,0.5
2020-12-23 10:21:55,"47",0.54,252574,6200.0,14.4,4.5
2020-12-23 10:21:55,"48",0.31,211487,480.0,2.7,19.5
2020-12-23 10:21:55,"49",1.14,51597,560.0,1.5,3.0
2020-12-23 10:21:55,"50",1.46,783718,120.0,91.6,17.6
2020-12-23 10:21:55,"51",1.22,763954,4000.0,88.6,25.5
2020-12-23 10:21:55,"52",1.30,779397,6120.0,107.5,9.1
2020-12-23 10:21:55,"53",1.33,1033141,1080.0,133.2,30.2
2020-12-23 10:21:55,"54",0.63,69960,0.0,0.4,6.6
2020-12-23 10:21:55,"55",0.61,55675,80.0,1.5,2.9
2020-12-23 10:21:55,"56",0.61,58961,40.0,0.1,6.3
2020-12-23 10:21:55,"57",0.64,174845,0.0,20.2,4.6
2020-12-23 10:21:55,"58",0.57,92047,0.0,3.9,3.9
2020-12-23 10:21:55,"59",0.54,95963,40.0,3.2,6.8
2020-12-23 10:21:56,"0",0.90,464538,1000.0,33.7,8.9
2020-12-23 10:21:56,"1",0.77,459721,280.0,40.4,28.4
2020-12-23 10:21:56,"2",0.69,267090,10400.0,15.8,6.6
2020-12-23 10:21:56,"3",0.90,44613,560.0,2.8,2.1
2020-12-23 10:21:56,"4",0.80,63153,800.0,3.3,0.9
2020-12-23 10:21:56,"5",0.36,22222,200.0,0.8,0.6
2020-12-23 10:21:56,"6",0.36,33633,560.0,2.8,1.6
2020-12-23 10:21:56,"7",0.33,8430,0.0,0.6,0.5
2020-12-23 10:21:56,"8",1.18,36145,80.0,2.0,1.2
2020-12-23 10:21:56,"9",0.26,42987,280.0,1.1,1.3
2020-12-23 10:21:56,"10",1.29,588909,8720.0,58.3,71.3
2020-12-23 10:21:56,"11",1.38,621049,2320.0,85.7,15.7
2020-12-23 10:21:56,"12",1.19,542388,1320.0,70.2,8.2
2020-12-23 10:21:56,"13",1.26,464892,640.0,51.6,22.0
2020-12-23 10:21:56,"14",0.36,132306,0.0,8.3,6.2
2020-12-23 10:21:56,"15",0.51,57083,0.0,0.2,4.9
2020-12-23 10:21:56,"16",1.19,119498,720.0,0.7,7.1
2020-12-23 10:21:56,"17",0.54,46661,0.0,0.1,4.0
2020-12-23 10:21:56,"18",0.51,43943,0.0,0.1,3.5
2020-12-23 10:21:56,"19",0.52,40180,0.0,0.0,3.2
2020-12-23 10:21:56,"40",0.34,48947,240.0,1.2,1.6
2020-12-23 10:21:56,"41",0.37,38697,80.0,0.5,1.1
2020-12-23 10:21:56,"42",0.49,29961,40.0,0.4,0.9
2020-12-23 10:21:56,"43",0.90,69025,720.0,2.5,2.0
2020-12-23 10:21:56,"44",0.80,154721,800.0,19.9,2.3
2020-12-23 10:21:56,"45",1.43,46310,1040.0,3.6,2.1
2020-12-23 10:21:56,"46",0.27,12101,40.0,0.1,0.1
2020-12-23 10:21:56,"47",0.85,428435,400.0,40.7,30.0
2020-12-23 10:21:56,"48",0.31,188732,640.0,4.0,9.7
