Time,Core,IPC,LLC Misses,LLC[KB],MBL[MB/s],MBR[MB/s]
2020-12-24 16:53:38,"10-19,50-59,20-29,60-69,30-39,70-79",1.46,21116392,76560.0,2365.0,602.1
2020-12-24 16:53:39,"10-19,50-59,20-29,60-69,30-39,70-79",1.48,21177828,76560.0,2473.6,305.4
2020-12-24 16:53:40,"10-19,50-59,20-29,60-69,30-39,70-79",1.48,25564348,76400.0,2733.0,560.8
2020-12-24 16:53:41,"10-19,50-59,20-29,60-69,30-39,70-79",1.46,21074812,76480.0,2451.0,341.2
2020-12-24 16:53:42,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,25772315,76560.0,2885.2,356.4
2020-12-24 16:53:43,"10-19,50-59,20-29,60-69,30-39,70-79",1.42,26407181,76320.0,2762.1,642.1
2020-12-24 16:53:44,"10-19,50-59,20-29,60-69,30-39,70-79",1.43,21495784,76560.0,2389.1,396.6
2020-12-24 16:53:45,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,19784726,76280.0,2285.5,408.6
2020-12-24 16:53:46,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,25559944,76640.0,2836.1,500.5
2020-12-24 16:53:47,"10-19,50-59,20-29,60-69,30-39,70-79",1.46,22595822,76600.0,2653.3,341.5
2020-12-24 16:53:48,"10-19,50-59,20-29,60-69,30-39,70-79",1.42,25251653,76560.0,2778.5,307.9
2020-12-24 16:53:49,"10-19,50-59,20-29,60-69,30-39,70-79",1.46,20081998,76520.0,2364.0,308.2
2020-12-24 16:53:50,"10-19,50-59,20-29,60-69,30-39,70-79",1.47,19486779,76480.0,2269.3,258.5
2020-12-24 16:53:51,"10-19,50-59,20-29,60-69,30-39,70-79",1.47,23207007,76640.0,2574.7,420.7
2020-12-24 16:53:52,"10-19,50-59,20-29,60-69,30-39,70-79",1.42,28553704,76440.0,2871.9,623.4
2020-12-24 16:53:53,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,28505558,76640.0,3011.5,427.8
2020-12-24 16:53:54,"10-19,50-59,20-29,60-69,30-39,70-79",1.42,26031672,76600.0,2930.6,449.9
2020-12-24 16:53:55,"10-19,50-59,20-29,60-69,30-39,70-79",1.41,22347555,76600.0,2583.0,464.6
2020-12-24 16:53:56,"10-19,50-59,20-29,60-69,30-39,70-79",1.41,26567844,76560.0,2827.8,574.2
2020-12-24 16:53:57,"10-19,50-59,20-29,60-69,30-39,70-79",1.48,25126101,76560.0,2777.2,454.7
2020-12-24 16:53:58,"10-19,50-59,20-29,60-69,30-39,70-79",1.46,26264548,76600.0,2827.9,435.9
2020-12-24 16:53:59,"10-19,50-59,20-29,60-69,30-39,70-79",1.46,20838368,76640.0,2459.7,278.6
2020-12-24 16:54:00,"10-19,50-59,20-29,60-69,30-39,70-79",1.47,23950624,76640.0,2706.3,318.9
2020-12-24 16:54:01,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,22538555,76560.0,2448.9,604.6
2020-12-24 16:54:02,"10-19,50-59,20-29,60-69,30-39,70-79",1.43,18661207,76640.0,2167.9,413.7
2020-12-24 16:54:03,"10-19,50-59,20-29,60-69,30-39,70-79",1.42,21936938,76400.0,2463.5,395.4
2020-12-24 16:54:04,"10-19,50-59,20-29,60-69,30-39,70-79",1.41,22019600,76640.0,2406.6,654.8
2020-12-24 16:54:05,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,21679538,76520.0,2487.7,335.6
2020-12-24 16:54:06,"10-19,50-59,20-29,60-69,30-39,70-79",1.42,23727861,76600.0,2645.6,452.3
2020-12-24 16:54:07,"10-19,50-59,20-29,60-69,30-39,70-79",1.38,30524427,76560.0,3034.1,868.6
2020-12-24 16:54:08,"10-19,50-59,20-29,60-69,30-39,70-79",1.43,24974109,76480.0,2734.0,511.6
2020-12-24 16:54:09,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,20197590,76520.0,2313.7,372.9
2020-12-24 16:54:10,"10-19,50-59,20-29,60-69,30-39,70-79",1.49,18945198,76480.0,2191.6,415.4
2020-12-24 16:54:11,"10-19,50-59,20-29,60-69,30-39,70-79",1.50,27201402,76520.0,2953.7,435.6
2020-12-24 16:54:12,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,26749930,76640.0,2901.1,413.0
2020-12-24 16:54:13,"10-19,50-59,20-29,60-69,30-39,70-79",1.42,21202967,76520.0,2351.8,608.9
2020-12-24 16:54:14,"10-19,50-59,20-29,60-69,30-39,70-79",1.41,23872570,76640.0,2535.3,555.2
2020-12-24 16:54:15,"10-19,50-59,20-29,60-69,30-39,70-79",1.46,26472819,76600.0,2877.4,331.5
2020-12-24 16:54:16,"10-19,50-59,20-29,60-69,30-39,70-79",1.46,29085815,76560.0,3082.2,582.4
2020-12-24 16:54:17,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,27923230,76520.0,2910.3,400.5
2020-12-24 16:54:18,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,26536233,76560.0,2778.8,675.6
2020-12-24 16:54:19,"10-19,50-59,20-29,60-69,30-39,70-79",1.43,20179025,76200.0,2250.6,575.7
2020-12-24 16:54:20,"10-19,50-59,20-29,60-69,30-39,70-79",1.53,20387478,76640.0,2336.2,368.3
2020-12-24 16:54:21,"10-19,50-59,20-29,60-69,30-39,70-79",1.49,25036650,76560.0,2760.5,370.2
2020-12-24 16:54:22,"10-19,50-59,20-29,60-69,30-39,70-79",1.43,18627715,76400.0,2087.1,600.6
2020-12-24 16:54:23,"10-19,50-59,20-29,60-69,30-39,70-79",1.41,23474387,76200.0,2616.9,599.0
2020-12-24 16:54:24,"10-19,50-59,20-29,60-69,30-39,70-79",1.43,22739729,76600.0,2520.4,434.1
2020-12-24 16:54:25,"10-19,50-59,20-29,60-69,30-39,70-79",1.42,19913016,76560.0,2284.6,458.5
2020-12-24 16:54:26,"10-19,50-59,20-29,60-69,30-39,70-79",1.47,23213599,76520.0,2610.1,277.9
2020-12-24 16:54:27,"10-19,50-59,20-29,60-69,30-39,70-79",1.46,23849604,76640.0,2644.8,354.9
2020-12-24 16:54:28,"10-19,50-59,20-29,60-69,30-39,70-79",1.39,25512163,76640.0,2627.6,831.1
2020-12-24 16:54:29,"10-19,50-59,20-29,60-69,30-39,70-79",1.48,23946753,76560.0,2528.2,472.2
2020-12-24 16:54:30,"10-19,50-59,20-29,60-69,30-39,70-79",1.51,21798831,76040.0,2465.6,272.5
2020-12-24 16:54:31,"10-19,50-59,20-29,60-69,30-39,70-79",1.43,18269496,76640.0,2148.6,574.2
2020-12-24 16:54:32,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,24453017,76560.0,2807.8,311.4
