# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    72    46     -    14     4     0     0  6800  1350     0     0  5621    15     -     -     0    63     0
    1   113    52     -    20     2     0     0  6800  1920     0     0  8254    19     -     -     0     0    15
    2    69    42     -    19     3     0     0  6800  1350     0     0  5563    15     -     -     0     0     0
    0    62    46     -    14     5     0     0  6800  1350     0     0  5621    15     -     -     0   251     0
    1   115    52     -    14     2     0     0  6800  1920     0     0  8254    19     -     -     0     9    17
    2    76    42     -    20     2     0     0  6800  1410     0     0  5563    15     -     -     0    67     4
    0    72    46     -    12     3     0     0  6800  1350     0     0  5621    15     -     -     0   281     1
    1    74    51     -    28     3     0     0  6800  1560     0     0  8254    19     -     -     0   151     0
    2    73    43     -    18     3     0     0  6800  1590     0     0  5563    15     -     -     0     0     0
    0    72    46     -    13     4     0     0  6800  1350     0     0  5621    15     -     -     0   269     4
    1    97    52     -    27     2     0     0  6800  1800     0     0  8254    19     -     -     0     4     0
    2    71    43     -    12     2     0     0  6800  1350     0     0  5563    15     -     -     0     4     4
    0    78    46     -     9     3     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1    87    51     -    30     3     0     0  6800  1575     0     0  8254    19     -     -     0     0    16
    2    71    43     -    25     3     0     0  6800  1350     0     0  5563    15     -     -     0   109     1
    0    62    46     -    12     3     0     0  6800  1350     0     0  5621    15     -     -     0   268     4
    1    72    51     -    25     3     0     0  6800  1605     0     0  8254    19     -     -     0     0     0
    2    71    43     -    21     3     0     0  6800  1350     0     0  5563    15     -     -     0     2     0
    0    69    46     -    13     4     0     0  6800  1350     0     0  5621    15     -     -     0   234     4
    1    85    51     -    37     4     0     0  6800  1920     0     0  8254    19     -     -     0     9     3
    2    74    43     -    25     3     0     0  6800  1350     0     0  5563    15     -     -     0     1    31
    0    69    46     -    13     4     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1   122    53     -    52     8     0     0  6800  1920     0     0  8254    19     -     -     0     0    12
    2    70    43     -    23     3     0     0  6800  1350     0     0  5563    15     -     -     0    11     0
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    78    46     -    13     4     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1   101    53     -    32     3     0     0  6800  1920     0     0  8254    19     -     -     0   141     4
    2    80    43     -    14     3     0     0  6800  1350     0     0  5563    15     -     -     0     0     0
    0    62    46     -    12     4     0     0  6800  1350     0     0  5621    15     -     -     0   571    12
    1   118    53     -    26     4     0     0  6800  1920     0     0  8254    19     -     -     0    74     2
    2    70    43     -    17     2     0     0  6800  1350     0     0  5563    15     -     -     0     0     0
    0    62    46     -     9     3     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1   119    54     -    27     4     0     0  6800  1920     0     0  8254    19     -     -     0     1    19
    2    82    43     -    18     3     0     0  6800  1350     0     0  5563    15     -     -     0     0     0
    0    72    47     -    11     3     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1   123    54     -    36     4     0     0  6800  1920     0     0  8254    19     -     -     0     0     0
    2    69    43     -    14     2     0     0  6800  1350     0     0  5563    15     -     -     0     0    11
    0    62    46     -    14     4     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1    70    52     -    25     2     0     0  6800  1500     0     0  8254    19     -     -     0    77     0
    2    73    43     -    19     3     0     0  6800  1350     0     0  5563    15     -     -     0     0     0
    0    62    46     -    13     4     0     0  6800  1350     0     0  5621    15     -     -     0   262     6
    1    80    52     -    26     3     0     0  6800  1500     0     0  8254    19     -     -     0    74     2
    2    66    43     -    22     3     0     0  6800  1350     0     0  5563    15     -     -     0     0     0
    0    62    47     -    11     3     0     0  6800  1350     0     0  5621    15     -     -     0   282     0
    1   105    53     -    31     3     0     0  6800  1920     0     0  8254    19     -     -     0   147    10
    2    78    43     -    16     2     0     0  6800  1350     0     0  5563    15     -     -     0    75     2
    0    70    46     -    14     4     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1    71    52     -    28     3     0     0  6800  1590     0     0  8254    19     -     -     0    16     0
    2    67    43     -    16     2     0     0  6800  1350     0     0  5563    15     -     -     0   270     6
    0    72    46     -    12     4     0     0  6800  1350     0     0  5621    15     -     -     0     0    30
    1    90    53     -    25     3     0     0  6800  1920     0     0  8254    19     -     -     0   118     0
    2    82    43     -    20     3     0     0  6800  1350     0     0  5563    15     -     -     0     0     0
    0    70    46     -    13     4     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1   106    53     -    25     3     0     0  6800  1905     0     0  8254    19     -     -     0    22     0
    2    74    44     -    20     3     0     0  6800  1350     0     0  5563    15     -     -     0     0    10
    0    66    46     -    13     4     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1   114    54     -    29     3     0     0  6800  1905     0     0  8254    19     -     -     0    86     0
    2    72    44     -    20     2     0     0  6800  1350     0     0  5563    15     -     -     0   262     6
    0    62    46     -    11     3     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1   102    54     -    29     3     0     0  6800  1905     0     0  8254    19     -     -     0     0     0
    2    77    44     -    20     3     0     0  6800  1350     0     0  5563    15     -     -     0     2     1
    0    70    46     -    13     4     0     0  6800  1350     0     0  5621    15     -     -     0   286     0
    1   101    53     -    22     2     0     0  6800  1905     0     0  8254    19     -     -     0    11    17
    2    73    44     -    17     3     0     0  6800  1440     0     0  5563    15     -     -     0     0    31
    0    69    46     -    13     4     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1   109    54     -    32     3     0     0  6800  1905     0     0  8254    19     -     -     0     5     7
    2    87    45     -    19     3     0     0  6800  1875     0     0  5563    15     -     -     0    13     0
    0    77    47     -    13     4     0     0  6800  1350     0     0  5621    15     -     -     0   259     6
    1   100    53     -    22     3     0     0  6800  1905     0     0  8254    19     -     -     0     0     0
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    2   113    45     -    17     2     0     0  6800  1875     0     0  5563    15     -     -     0     0     0
    0    67    47     -    12     4     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1    87    53     -    24     3     0     0  6800  1635     0     0  8254    19     -     -     0     5     0
    2    71    44     -    23     3     0     0  6800  1350     0     0  5563    15     -     -     0     0     0
    0    82    46     -    12     3     0     0  6800  1350     0     0  5621    15     -     -     0   275     2
    1   107    54     -    31     3     0     0  6800  1905     0     0  8254    19     -     -     0     0     0
    2    82    44     -    18     2     0     0  6800  1350     0     0  5563    15     -     -     0     0     0
    0    65    47     -    11     4     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1    65    53     -    27     3     0     0  6800  1440     0     0  8254    19     -     -     0     0     0
